player_tournament_id,tournament_id,round_number,player_rating,title_encoded,seed_percentile,tournament_avg_rating,tournament_rating_std,n_rounds_total,field_size,rating_gap_to_field_avg,rounds_remaining,current_score,expected_score_so_far,score_delta,avg_opponent_rating_so_far,color_balance,opponent_rating,rating_diff,expected_score_this_game,playing_white,current_rank,gap_to_leader,opponent_current_score,player_result,final_performance_rating,action,action_aggressive,action_solid,action_passive
736,972588,3,2100.0,3,0.9464,1803.3960396039604,191.38469527148305,7,113,296.6039603960396,4,1.5,1.6839,-0.1839,1805.5,0,1788.0,312.0,0.8577,1,22,-0.5,2.0,win,2136.7,solid,0,1,0
736,972588,4,2100.0,3,0.9464,1803.3960396039604,191.38469527148305,7,113,296.6039603960396,3,2.5,2.5416,-0.0416,1799.6666666666667,1,1881.0,219.0,0.7791,0,7,-0.5,2.5,win,2136.7,solid,0,1,0
736,972588,5,2100.0,3,0.9464,1803.3960396039604,191.38469527148305,7,113,296.6039603960396,2,3.5,3.3207,0.1793,1820.0,0,2195.0,-95.0,0.3666,1,2,-0.5,3.5,loss,2136.7,aggressive,1,0,0
736,972588,6,2100.0,3,0.9464,1803.3960396039604,191.38469527148305,7,113,296.6039603960396,1,3.5,3.6873,-0.1873,1895.0,1,1830.0,270.0,0.8255,0,10,-1.0,3.5,win,2136.7,solid,0,1,0
736,972588,7,2100.0,3,0.9464,1803.3960396039604,191.38469527148305,7,113,296.6039603960396,0,4.5,4.5128,-0.0128,1884.1666666666667,0,2042.0,58.0,0.5827,1,8,-0.5,4.5,win,2136.7,aggressive,1,0,0
737,972588,1,2231.0,0,0.9821,1803.3960396039604,191.38469527148305,7,113,427.6039603960396,6,0.0,0.0,0.0,,0,1783.0,448.0,0.9295,1,1,0.0,0.0,win,2120.1,solid,0,1,0
737,972588,2,2231.0,0,0.9821,1803.3960396039604,191.38469527148305,7,113,427.6039603960396,5,1.0,0.9295,0.0705,1783.0,1,1866.0,365.0,0.891,0,1,0.0,1.0,win,2120.1,solid,0,1,0
737,972588,3,2231.0,0,0.9821,1803.3960396039604,191.38469527148305,7,113,427.6039603960396,4,2.0,1.8205,0.1795,1824.5,0,1896.0,335.0,0.8731,1,1,0.0,2.0,win,2120.1,solid,0,1,0
737,972588,4,2231.0,0,0.9821,1803.3960396039604,191.38469527148305,7,113,427.6039603960396,3,3.0,2.6936,0.3064,1848.3333333333333,1,2042.0,189.0,0.748,0,1,0.0,3.0,win,2120.1,solid,0,1,0
737,972588,5,2231.0,0,0.9821,1803.3960396039604,191.38469527148305,7,113,427.6039603960396,2,4.0,3.4416,0.5584,1896.75,0,2337.0,-106.0,0.352,1,1,0.0,3.5,loss,2120.1,solid,0,1,0
737,972588,6,2231.0,0,0.9821,1803.3960396039604,191.38469527148305,7,113,427.6039603960396,1,4.0,3.7936,0.2064,1984.8,1,1968.0,263.0,0.8196,0,5,-0.5,4.0,loss,2120.1,passive,0,0,1
737,972588,7,2231.0,0,0.9821,1803.3960396039604,191.38469527148305,7,113,427.6039603960396,0,4.0,4.6132,-0.6132,1982.0,0,1843.0,388.0,0.9032,1,13,-1.0,4.0,win,2120.1,solid,0,1,0
738,972588,1,1828.0,0,0.5982,1803.3960396039604,191.38469527148305,7,113,24.60396039603961,6,0.0,0.0,0.0,,0,1423.0,405.0,0.9114,0,1,0.0,0.0,win,2100.4,solid,0,1,0
738,972588,2,1828.0,0,0.5982,1803.3960396039604,191.38469527148305,7,113,24.60396039603961,5,1.0,0.9114,0.0886,1423.0,-1,1999.0,-171.0,0.272,1,1,0.0,1.0,win,2100.4,aggressive,1,0,0
738,972588,3,1828.0,0,0.5982,1803.3960396039604,191.38469527148305,7,113,24.60396039603961,4,2.0,1.1835,0.8165,1711.0,0,2042.0,-214.0,0.2259,0,1,0.0,2.0,loss,2100.4,solid,0,1,0
738,972588,4,1828.0,0,0.5982,1803.3960396039604,191.38469527148305,7,113,24.60396039603961,3,2.0,1.4093,0.5907,1821.3333333333333,-1,1901.0,-73.0,0.3965,1,18,-1.0,2.0,win,2100.4,aggressive,1,0,0
738,972588,5,1828.0,0,0.5982,1803.3960396039604,191.38469527148305,7,113,24.60396039603961,2,3.0,1.8058,1.1942,1841.25,0,1950.0,-122.0,0.3313,1,10,-1.0,3.0,win,2100.4,aggressive,1,0,0
738,972588,6,1828.0,0,0.5982,1803.3960396039604,191.38469527148305,7,113,24.60396039603961,1,4.0,2.1371,1.8629,1863.0,1,2087.0,-259.0,0.1838,0,5,-0.5,3.5,win,2100.4,aggressive,1,0,0
738,972588,7,1828.0,0,0.5982,1803.3960396039604,191.38469527148305,7,113,24.60396039603961,0,5.0,2.3209,2.6791,1900.3333333333333,0,2195.0,-367.0,0.1079,1,1,0.0,5.0,loss,2100.4,solid,0,1,0
739,972588,1,1968.0,0,0.8661,1803.3960396039604,191.38469527148305,7,113,164.6039603960396,6,0.0,0.0,0.0,,0,1714.0,254.0,0.8119,0,1,0.0,0.0,win,2125.6,solid,0,1,0
739,972588,2,1968.0,0,0.8661,1803.3960396039604,191.38469527148305,7,113,164.6039603960396,5,1.0,0.8119,0.1881,1714.0,-1,1828.0,140.0,0.6912,1,1,0.0,1.0,win,2125.6,solid,0,1,0
739,972588,3,1968.0,0,0.8661,1803.3960396039604,191.38469527148305,7,113,164.6039603960396,4,2.0,1.5031,0.4969,1771.0,0,1801.0,167.0,0.7234,0,1,0.0,2.0,draw,2125.6,passive,0,0,1
739,972588,4,1968.0,0,0.8661,1803.3960396039604,191.38469527148305,7,113,164.6039603960396,3,2.5,2.2265,0.2735,1781.0,-1,1873.0,95.0,0.6334,1,7,-0.5,2.5,draw,2125.6,solid,0,1,0
739,972588,5,1968.0,0,0.8661,1803.3960396039604,191.38469527148305,7,113,164.6039603960396,2,3.0,2.8599,0.1401,1804.0,0,1866.0,102.0,0.6427,0,10,-1.0,3.0,win,2125.6,solid,0,1,0
739,972588,6,1968.0,0,0.8661,1803.3960396039604,191.38469527148305,7,113,164.6039603960396,1,4.0,3.5026,0.4974,1816.4,-1,2231.0,-263.0,0.1804,1,5,-0.5,4.0,win,2125.6,aggressive,1,0,0
739,972588,7,1968.0,0,0.8661,1803.3960396039604,191.38469527148305,7,113,164.6039603960396,0,5.0,3.683,1.317,1885.5,0,2460.0,-492.0,0.0556,0,1,0.0,5.0,loss,2125.6,solid,0,1,0
741,972588,1,2058.0,0,0.9107,1803.3960396039604,191.38469527148305,7,113,254.6039603960396,6,0.0,0.0,0.0,,0,1734.0,324.0,0.8659,1,1,0.0,0.0,win,2094.0,solid,0,1,0
741,972588,2,2058.0,0,0.9107,1803.3960396039604,191.38469527148305,7,113,254.6039603960396,5,1.0,0.8659,0.1341,1734.0,1,1837.0,221.0,0.7811,0,1,0.0,1.0,win,2094.0,solid,0,1,0
741,972588,3,2058.0,0,0.9107,1803.3960396039604,191.38469527148305,7,113,254.6039603960396,4,2.0,1.647,0.353,1785.5,0,1881.0,177.0,0.7348,1,1,0.0,2.0,draw,2094.0,passive,0,0,1
741,972588,4,2058.0,0,0.9107,1803.3960396039604,191.38469527148305,7,113,254.6039603960396,3,2.5,2.3818,0.1182,1817.3333333333333,1,1825.0,233.0,0.7927,0,7,-0.5,2.5,win,2094.0,solid,0,1,0
